Index,ProblemSize,Threads,Operation,AvgSqTime,AvgParTime,AvgSpeedup
465,227174,10,0,0.0033945,0.0013625,2.496004
466,228536,48,0,0.0034790000000000003,0.0048665,0.7209085
467,237675,2,0,0.0034925,0.0014305,2.582941
468,239977,35,0,0.0036165,0.003691,0.9843375
469,247353,35,0,0.0037465,0.003441,1.088794
470,248208,18,0,0.0037305,0.002073,1.8040065
471,253350,5,0,0.0037665,0.0012115,3.3164165
472,255693,31,0,0.0038495,0.003198,1.2050049999999999
473,259737,33,0,0.0038855,0.003869,1.0043235
474,260429,13,0,0.003902,0.0016805000000000001,2.324697
475,266529,46,0,0.004046,0.005276,0.7879134999999999
476,274606,53,0,0.004144,0.005382,0.7738555
477,274866,26,0,0.004142,0.0027225,1.5219365
478,282718,4,0,0.004209,0.0015205000000000002,2.900937
479,288729,30,0,0.004361,0.0032205000000000003,1.3549795
480,291463,41,0,0.0043535,0.0044605,0.9763055
481,295857,35,0,0.004379,0.003612,1.2140024999999999
482,297870,19,0,0.004421,0.0025955,1.7033795
483,308756,58,0,0.004652,0.0062664999999999995,0.742395
484,309930,30,0,0.004649,0.0035485,1.3106019999999998
485,314238,22,0,0.0046619999999999995,0.002522,1.85061
486,315642,11,0,0.0047795,0.00196,2.4671085
487,320793,40,0,0.004873499999999999,0.00452,1.0830495
488,324627,45,0,0.005303499999999999,0.004828000000000001,1.098439
489,326475,59,0,0.0049239999999999996,0.006309,0.780493
490,335682,49,0,0.003558,0.005083000000000001,0.700278
491,336950,43,0,0.003521,0.004656,0.7639475
492,340395,9,0,0.0034865,0.0015105000000000001,2.323474
493,343039,30,0,0.0036055,0.0036705,0.983731
494,345745,33,0,0.0037475,0.0037619999999999997,0.9962895
495,347545,9,0,0.0035905,0.001676,2.2051815
496,351293,55,0,0.0057610000000000005,0.006061,0.952342
497,358354,52,0,0.005381,0.005648,0.954893
498,361848,27,0,0.005464,0.003085,1.7740070000000001
499,364472,27,0,0.0054280000000000005,0.003363,1.614079
500,368240,2,0,0.0053525,0.0019649999999999997,2.7294345
501,370665,6,0,0.0054485,0.0011135,4.8927905
502,373675,17,0,0.0056264999999999996,0.002605,2.171538
503,374334,46,0,0.0056185,0.0050810000000000004,1.106407
504,387229,2,0,0.0057795,0.002188,2.77772
505,389170,64,0,0.0058790000000000005,0.0067855,0.8664375
506,393508,30,0,0.0044855,0.0037384999999999996,1.200216
507,398752,27,0,0.0044525,0.003096,1.4390505
508,403701,51,0,0.0044615,0.0052315,0.853804
509,409783,13,0,0.0045415,0.0019725000000000003,2.3116135
510,416056,58,0,0.0046665000000000005,0.006248,0.7468600000000001
511,418152,48,0,0.004816,0.00544,0.8853685
512,422762,18,0,0.004710000000000001,0.0022935,2.0539735
